Order ID,Product ID,Product Name,SKU ID,Price,Payment Amount,Currency,Quantity,Fully returned or refunded,Payment method,Order Status,Creator Username,Creator Region,Content Type,Content ID,commission model,Standard commission rate,Est. Commission Base,Est. standard commission payment,Actual Commission Base,Actual Commission Payment,Shop Ads commission rate,Est. Shop Ads commission payment,Actual Shop Ads commission payment,Est. co-funded creator bonus,Actual co-funded creator bonus,Time Created,Payment time,Order Delivery Time,Time Commission Paid,Platform
576839075210107449,1729509299352344747,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1729581609641744555,24.99,24.99,GBP,1,No,Not cash on delivery,Settled,elvenh0me,GB,Video,7576743350557084950,fixed commission,,24.99,,24.99,,5%,1.25,1.25,,,02/01/2026 05:28:02,02/01/2026 05:29:51,06/01/2026 20:20:22,21/01/2026 06:44:38,TTS
576839074480429989,1729509299352344747,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1729581609641744555,24.99,24.99,GBP,1,No,Not cash on delivery,Settled,koshbosh1,GB,Video,7551370307509046550,fixed commission,,24.99,,24.99,,5%,1.25,1.25,,,02/01/2026 05:27:14,02/01/2026 05:28:19,03/01/2026 21:41:41,18/01/2026 06:43:28,TTS
576839072026499493,1729509299352344747,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1729581609641744555,24.99,24.99,GBP,1,No,Not cash on delivery,Settled,uniquevallerie,GB,Video,7588961201862741270,fixed commission,,24.99,,24.99,,5%,1.25,1.25,,,02/01/2026 05:19:25,02/01/2026 05:19:29,03/01/2026 19:34:21,18/01/2026 07:07:15,TTS
576839066366351362,1729509299352344747,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1729636075899295915,57.99,57.99,GBP,1,No,Not cash on delivery,Ineligible,annsdailydeals,GB,Video,7579253279725505814,fixed commission,,57.99,,,,5%,2.9,,,,02/01/2026 05:04:26,,,,TTS
576839060823841187,1729629514098776235,"VAHDAM Turmeric Ginger Herbal Tea Bags (100 Pyramid Tea Bags) - Caffeine Free, Blend of Real Spices - Turmeric Tea, Ginger Tea | Herbal Tea",1729629542578690219,14.99,18.98,GBP,1,No,Not cash on delivery,Settled,shop.tikcollections,GB,Livestream,7588638338848918294,fixed commission,30%,14.99,4.5,14.99,4.5,,,,,,02/01/2026 04:52:03,02/01/2026 04:55:09,04/01/2026 21:08:34,19/01/2026 09:05:53,TTS
576839060711250846,1729509299352344747,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1729581609641744555,22.5,22.5,GBP,1,No,Not cash on delivery,Settled,shop.tikcollections,GB,Livestream,7590494078023584534,fixed commission,30%,22.5,6.75,22.5,6.75,,,,,,02/01/2026 04:51:09,02/01/2026 04:51:24,03/01/2026 19:03:46,18/01/2026 07:50:32,TTS
576839056419625172,1729509299352344747,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1729581609641810091,36,36,GBP,1,No,Not cash on delivery,Settled,shop.tikcollections,GB,Livestream,7590494078023584534,fixed commission,30%,36,10.8,36,10.8,,,,,,02/01/2026 04:40:53,02/01/2026 04:40:56,03/01/2026 22:55:41,18/01/2026 06:27:59,TTS
576839054230788103,1729509299352344747,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1729581609641744555,22.5,22.5,GBP,1,No,Not cash on delivery,Settled,shop.tikcollections,GB,Livestream,7590494078023584534,fixed commission,30%,22.5,6.75,22.5,6.75,,,,,,02/01/2026 04:38:11,02/01/2026 04:38:15,05/01/2026 19:17:23,20/01/2026 09:16:33,TTS
576839054157781690,1729509299352344747,"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings",1729581609641744555,24.99,24.99,GBP,1,No,Not cash on delivery,Settled,shop.tikcollections,GB,Livestream,7590494078023584534,fixed commission,30%,24.99,7.5,24.99,7.5,,,,,,02/01/2026 04:36:58,02/01/2026 04:37:22,05/01/2026 17:45:24,20/01/2026 07:47:54,TTS
576839052475865598,1729697281939642539,"VAHDAM Green Burner 500 mg Green Tea Extract with Apple Cider Vinegar, Garcinia Cambogia, L-Carnitine & Bacillus Coagulans",1729723796674353323,22.99,22.99,GBP,1,No,Not cash on delivery,Settled,james_lifestyle95,GB,Livestream,7588104275030100758,fixed commission,15%,22.99,3.45,22.99,3.45,,,,,,02/01/2026 04:32:01,02/01/2026 04:32:04,05/01/2026 18:57:49,20/01/2026 07:34:08,TTS
